rank,prev_rank,name,league,off,def,spi
501,517,Fleetwood Town,English League One,0.73,1.54,26.3
502,506,V-Varen Nagasaki,Japanese J League,0.92,1.82,26.29
503,489,Erzgebirge Aue,German 2. Bundesliga,0.85,1.72,26.29
504,515,Vendsyssel,Danish SAS-Ligaen,0.89,1.78,26.11
505,516,SpVgg Greuther Fürth,German 2. Bundesliga,0.83,1.7,26.01
506,522,Lillestrom,Norwegian Tippeligaen,0.86,1.76,25.9
507,520,SuperSport United,South African ABSA Premier League,0.61,1.38,25.53
508,484,Orange County SC,United Soccer League,1.15,2.2,25.53
509,495,Real Monarchs SLC,United Soccer League,0.88,1.82,25.44
510,486,Emmen,Dutch Eredivisie,1.06,2.08,25.44
511,512,Livingston,Scottish Premiership,0.75,1.61,25.41
512,490,AS Nancy Lorraine,French Ligue 2,0.76,1.63,25.33
513,488,IFK Goteborg,Swedish Allsvenskan,0.99,2.0,25.27
514,504,Orebro SK,Swedish Allsvenskan,0.83,1.76,25.2
515,513,AD Alcorcon,Spanish Segunda Division,0.66,1.48,25.2
516,487,San Jose Earthquakes,Major League Soccer,1.06,2.1,25.16
517,530,Salernitana,Italy Serie B,0.74,1.63,25.1
518,533,Jubilo Iwata,Japanese J League,0.74,1.63,25.05
519,524,Sandefjord,Norwegian Tippeligaen,1.0,2.03,25.03
520,527,New York Red Bulls II,United Soccer League,1.09,2.16,24.88
521,546,IK Sirius,Swedish Allsvenskan,0.96,1.97,24.82
522,523,Colorado Rapids,Major League Soccer,0.91,1.9,24.77
523,548,Coventry City,English League One,0.76,1.68,24.74
524,538,Foggia,Italy Serie B,0.8,1.75,24.56
525,531,Extremadura UD,Spanish Segunda Division,0.71,1.61,24.49
526,542,Vejle,Danish SAS-Ligaen,0.78,1.73,24.44
527,534,Cremonese,Italy Serie B,0.61,1.46,24.39
528,497,Bury,English League Two,0.91,1.93,24.34
529,525,North Carolina FC,United Soccer League,0.95,1.99,24.31
530,535,Highlands Park FC,South African ABSA Premier League,0.78,1.73,24.31
531,528,US Pescara,Italy Serie B,0.8,1.78,24.25
532,493,Levadiakos,Greek Super League,0.55,1.37,24.17
533,514,Vegalta Sendai,Japanese J League,0.85,1.85,24.14
534,498,Auxerre,French Ligue 2,0.65,1.53,24.13
535,529,Brisbane Roar,Australian A-League,1.04,2.15,24.01
536,537,MSV Duisburg,German 2. Bundesliga,0.85,1.86,23.91
537,508,Bristol Rovers,English League One,0.7,1.63,23.89
538,526,Oita Trinita,Japanese J League,0.75,1.71,23.85
539,550,Cordoba,Spanish Segunda Division,1.01,2.12,23.83
540,511,Kalmar FF,Swedish Allsvenskan,0.68,1.63,23.44
541,536,Gillingham,English League One,0.9,1.97,23.43
542,540,Saint Louis FC,United Soccer League,0.73,1.71,23.32
543,541,AmaZulu,South African ABSA Premier League,0.8,1.84,23.3
544,532,Lincoln City,English League Two,0.76,1.77,23.18
545,560,Viking FK,Norwegian Tippeligaen,0.78,1.82,22.98
546,545,Chateauroux,French Ligue 2,0.64,1.61,22.77
547,543,Golden Arrows,South African ABSA Premier League,0.62,1.58,22.58
548,547,Pittsburgh Riverhounds,United Soccer League,0.79,1.87,22.53
549,539,Ranheim,Norwegian Tippeligaen,0.85,1.98,22.39
550,544,AC Ajaccio,French Ligue 2,0.66,1.67,22.2
551,553,Oxford United,English League One,0.68,1.72,22.15
552,551,NAC,Dutch Eredivisie,0.87,2.03,22.01
553,559,Plymouth Argyle,English League One,0.83,1.98,21.87
554,552,Reus Deportiu,Spanish Segunda Division,0.56,1.53,21.75
555,555,Bloem Celtic,South African ABSA Premier League,0.69,1.77,21.54
556,589,Mansfield Town,English League Two,0.72,1.83,21.48
557,556,Blackpool,English League One,0.68,1.77,21.47
558,570,Milton Keynes Dons,English League Two,0.83,2.02,21.26
559,549,San Antonio FC,United Soccer League,0.83,2.03,21.21
560,564,Charleston Battery,United Soccer League,0.69,1.8,21.13
561,562,Peterborough United,English League One,0.79,1.98,21.07
562,563,Fresno FC,United Soccer League,0.68,1.79,21.07
563,554,Livorno,Italy Serie B,0.65,1.74,20.99
564,567,Lugo,Spanish Segunda Division,0.62,1.7,20.99
565,566,F.B.C Unione Venezia,Italy Serie B,0.63,1.75,20.46
566,569,Austin Bold FC,United Soccer League,0.69,1.86,20.37
567,558,Apollon Smyrni,Greek Super League,0.59,1.69,20.33
568,561,Mjondalen,Norwegian Tippeligaen,0.7,1.9,20.03
569,568,Ascoli,Italy Serie B,0.64,1.81,19.93
570,573,Padova,Italy Serie B,0.59,1.73,19.8
571,585,Vasby United,Swedish Allsvenskan,0.69,1.91,19.72
572,584,Shrewsbury Town,English League One,0.6,1.75,19.57
573,574,New Mexico United,United Soccer League,0.77,2.06,19.54
574,557,St Johnstone,Scottish Premiership,0.6,1.76,19.44
575,572,Portland Timbers 2,United Soccer League,0.79,2.1,19.37
576,575,IK Start,Norwegian Tippeligaen,0.74,2.04,19.26
577,571,Charlotte Independence,United Soccer League,0.85,2.21,19.23
578,565,Niort,French Ligue 2,0.52,1.65,19.08
579,577,Free State Stars,South African ABSA Premier League,0.66,1.91,18.92
580,594,Tranmere Rovers,English League Two,0.64,1.89,18.79
581,578,Central Coast Mariners,Australian A-League,0.89,2.33,18.64
582,576,Carpi,Italy Serie B,0.68,1.97,18.59
583,579,Chippa United,South African ABSA Premier League,0.48,1.63,18.52
584,582,Dalkurd FF,Swedish Allsvenskan,0.65,1.96,18.19
585,593,Colorado Springs Switchbacks FC,United Soccer League,0.62,1.9,18.11
586,583,Maritzburg Utd,South African ABSA Premier League,0.43,1.58,17.91
587,586,Baroka FC,South African ABSA Premier League,0.5,1.74,17.61
588,610,Swindon Town,English League Two,0.6,1.92,17.49
589,595,Falkenbergs FF,Swedish Allsvenskan,0.57,1.88,17.36
590,581,Matsumoto Yamaga FC,Japanese J League,0.5,1.75,17.25
591,587,Wycombe Wanderers,English League One,0.72,2.16,17.18
592,580,Scunthorpe,English League One,0.65,2.04,17.18
593,600,LA Galaxy II,United Soccer League,0.93,2.53,17.11
594,605,Sochaux,French Ligue 2,0.43,1.68,16.46
595,597,GFC Ajaccio,French Ligue 2,0.52,1.85,16.41
596,590,Forest Green Rovers,English League Two,0.55,1.92,16.33
597,602,Oldham Athletic,English League Two,0.66,2.13,16.27
598,598,Black Leopards,South African ABSA Premier League,0.58,1.99,16.2
599,599,Ottawa Fury FC,United Soccer League,0.48,1.81,16.18
600,616,Birmingham Legion FC,United Soccer League,0.63,2.09,16.15
601,611,AFC Wimbledon,English League One,0.52,1.9,15.94
602,588,Gimnástic Tarragona,Spanish Segunda Division,0.43,1.76,15.66
603,596,Accrington Stanley,English League One,0.59,2.07,15.59
604,601,Brommapojkarna,Swedish Allsvenskan,0.67,2.24,15.39
605,591,Southend United,English League One,0.61,2.14,15.15
606,612,Bethlehem Steel FC,United Soccer League,0.53,2.02,14.92
607,608,Swope Park Rangers,United Soccer League,0.67,2.28,14.86
608,623,Cheltenham Town,English League Two,0.66,2.27,14.85
609,609,St Mirren,Scottish Premiership,0.57,2.09,14.83
610,592,Exeter City,English League Two,0.45,1.87,14.78
611,617,El Paso Locomotive FC,United Soccer League,0.55,2.08,14.69
612,604,Beziers AS,French Ligue 2,0.29,1.55,14.6
613,607,Walsall,English League One,0.59,2.17,14.5
614,622,Red Star FC 93,French Ligue 2,0.47,1.96,14.27
615,618,Rochdale,English League One,0.68,2.42,13.84
616,621,Tulsa Roughnecks,United Soccer League,0.7,2.46,13.67
617,613,Dundee,Scottish Premiership,0.56,2.21,13.59
618,615,Bradford City,English League One,0.58,2.23,13.57
619,606,Crewe Alexandra,English League Two,0.57,2.22,13.55
620,614,Hartford Athletic,United Soccer League,0.5,2.1,13.49
621,603,Carlisle United,English League Two,0.62,2.35,13.35
622,620,Toronto FC II,United Soccer League,0.82,2.73,13.27
623,619,Northampton Town,English League Two,0.47,2.18,12.13
624,626,Las Vegas Lights FC,United Soccer League,0.53,2.32,11.94
625,624,Penn FC,United Soccer League,0.41,2.07,11.9
626,625,Trelleborgs FF,Swedish Allsvenskan,0.57,2.41,11.9
627,628,Memphis 901 FC,United Soccer League,0.42,2.13,11.67
628,631,Colchester United,English League Two,0.4,2.18,10.76
629,629,Rio Grande Valley FC Toros,United Soccer League,0.37,2.14,10.59
630,632,Atlanta United 2,United Soccer League,0.43,2.36,9.86
631,633,Morecambe,English League Two,0.38,2.27,9.66
632,627,Hamilton Academical,Scottish Premiership,0.43,2.4,9.57
633,636,Newport County,English League Two,0.35,2.25,9.22
634,635,Macclesfield,English League Two,0.37,2.38,8.74
635,634,Port Vale,English League Two,0.2,1.96,8.56
636,630,Stevenage,English League Two,0.29,2.25,8.22
637,638,Cambridge United,English League Two,0.2,2.1,7.62
638,637,Grimsby Town,English League Two,0.2,2.14,7.34
639,639,Loudoun United FC,United Soccer League,0.2,2.17,7.15
640,642,Notts County,English League Two,0.28,2.43,6.94
641,643,Tacoma Defiance,United Soccer League,0.28,2.54,6.35
642,640,Crawley Town,English League Two,0.2,2.38,5.99
643,641,Yeovil Town,English League Two,0.2,2.63,4.81
644,644,Richmond Kickers,United Soccer League,0.26,2.97,4.2
