rank,prev_rank,name,league,off,def,spi
207,238,Sporting Kansas City,Major League Soccer,1.52,1.37,49.3
208,240,Los Angeles FC,Major League Soccer,1.62,1.47,49.29
209,231,Rapid Vienna,Austrian T-Mobile Bundesliga,1.44,1.29,49.25
210,208,Sheffield Wednesday,English League Championship,1.26,1.11,49.2
211,210,Chapecoense AF,Brasileiro Série A,1.17,1.02,49.15
212,215,Hannover 96,German Bundesliga,1.54,1.4,49.14
213,211,Apollon Limassol,UEFA Europa League,1.37,1.22,49.03
214,192,Terek Grozny,Russian Premier Liga,1.09,0.94,48.97
215,204,New York Red Bulls,Major League Soccer,1.35,1.21,48.92
216,213,Konyaspor,Turkish Turkcell Super Lig,1.21,1.07,48.79
217,209,Vitesse,Dutch Eredivisie,1.74,1.63,48.67
218,218,Millwall,English League Championship,1.34,1.21,48.57
219,224,Luton Town,English League One,1.37,1.25,48.29
220,220,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.42,1.31,48.17
221,212,Nottingham Forest,English League Championship,1.3,1.19,48.07
222,223,Birmingham,English League Championship,1.36,1.26,47.98
223,228,Caen,French Ligue 1,1.17,1.06,47.86
224,225,Union Santa Fe,Argentina Primera Division,1.2,1.1,47.8
225,226,Moreirense,Portuguese Liga,1.23,1.13,47.79
226,216,Kashima Antlers,Japanese J League,1.39,1.31,47.64
227,222,Atlanta United FC,Major League Soccer,1.42,1.34,47.58
228,221,Perth Glory,Australian A-League,1.49,1.42,47.46
229,270,FC Ufa,Russian Premier Liga,1.13,1.04,47.3
230,265,Derby County,English League Championship,1.24,1.16,47.24
231,262,Desportivo Aves,Portuguese Liga,1.23,1.16,47.14
232,232,Sivasspor,Turkish Turkcell Super Lig,1.57,1.53,46.96
233,227,Portimonense,Portuguese Liga,1.43,1.38,46.94
234,230,Brondby,Danish SAS-Ligaen,1.7,1.67,46.87
235,250,Toluca,Mexican Primera Division Torneo Clausura,1.34,1.29,46.8
236,229,FC Groningen,Dutch Eredivisie,1.2,1.14,46.76
237,248,Necaxa,Mexican Primera Division Torneo Clausura,1.37,1.33,46.65
238,219,Belenenses,Portuguese Liga,1.19,1.14,46.65
239,205,IFK Norrkoping,Swedish Allsvenskan,1.47,1.44,46.57
240,239,FK Qarabag,UEFA Europa League,1.26,1.22,46.48
241,253,FC Sion,Swiss Raiffeisen Super League,1.42,1.39,46.45
242,242,Vorskla,UEFA Europa League,1.19,1.14,46.43
243,243,Metz,French Ligue 2,1.2,1.15,46.41
244,247,Heerenveen,Dutch Eredivisie,1.91,1.92,46.3
245,233,Banfield,Argentina Primera Division,1.22,1.18,46.27
246,249,FC Nordsjaelland,Danish SAS-Ligaen,1.54,1.53,46.18
247,214,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.15,1.12,46.16
248,244,Blackburn,English League Championship,1.39,1.37,46.16
249,245,Dalian Aerbin,Chinese Super League,1.41,1.39,46.12
250,237,Guadalajara,Mexican Primera Division Torneo Clausura,1.23,1.2,46.12
251,241,FC Lugano,Swiss Raiffeisen Super League,1.32,1.3,46.07
252,255,Seattle Sounders FC,Major League Soccer,1.4,1.4,45.88
253,236,FC Zurich,Swiss Raiffeisen Super League,1.29,1.28,45.8
254,277,Toronto FC,Major League Soccer,1.58,1.61,45.6
255,234,Krylia Sovetov,Russian Premier Liga,1.19,1.19,45.58
256,263,Newell's Old Boys,Argentina Primera Division,1.17,1.16,45.58
257,254,Alanyaspor,Turkish Turkcell Super Lig,1.31,1.32,45.47
258,256,Fluminense,Brasileiro Série A,1.1,1.09,45.32
259,259,Sporting de Charleroi,Belgian Jupiler League,1.41,1.44,45.26
260,266,Hull City,English League Championship,1.37,1.4,45.21
261,260,SV Zulte Waregem,Belgian Jupiler League,1.7,1.75,45.21
262,261,AEK Larnaca,UEFA Europa League,1.17,1.17,45.21
263,258,Atlético Tucumán,Argentina Primera Division,1.23,1.25,45.16
264,251,Tigre,Argentina Primera Division,1.39,1.42,45.16
265,269,Lanus,Argentina Primera Division,1.17,1.18,45.13
266,264,Kasimpasa,Turkish Turkcell Super Lig,1.67,1.73,44.9
267,284,Panathinaikos,Greek Super League,1.01,1.01,44.88
268,246,Queens Park Rangers,English League Championship,1.31,1.35,44.76
269,287,Philadelphia Union,Major League Soccer,1.38,1.43,44.67
270,276,Pumas Unam,Mexican Primera Division Torneo Clausura,1.34,1.39,44.62
271,252,FC Luzern,Swiss Raiffeisen Super League,1.45,1.51,44.62
272,257,Antwerp,Belgian Jupiler League,1.21,1.26,44.33
273,275,Videoton FC,UEFA Europa League,1.21,1.27,44.06
